epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.402,1.13683,5.98521,1.38398,0.25516,0.21043,0.08435,0.05606,0.92331,4.73257,1.29007,3.682e-05,3.682e-05,3.682e-05
2,18.9939,1.01378,3.78903,1.32274,0.32278,0.49179,0.38017,0.29592,0.77316,20.1263,1.15118,7.75981e-05,7.75981e-05,7.75981e-05
3,24.5326,0.94211,2.48573,1.25171,0.52893,0.52019,0.51679,0.41172,0.73703,5.35006,1.12007,0.000116988,0.000116988,0.000116988
4,29.6279,0.8144,1.94249,1.11733,0.6282,0.57248,0.63088,0.50764,0.73368,2.75501,1.10792,0.000154989,0.000154989,0.000154989
5,33.839,0.80846,1.74671,1.12835,0.77476,0.67816,0.71786,0.59616,0.65952,2.12361,1.05745,0.000191601,0.000191601,0.000191601
6,37.9849,0.76624,1.47397,1.09964,0.7847,0.86501,0.85537,0.69117,0.68028,1.62581,1.05716,0.000226824,0.000226824,0.000226824
7,42.7541,0.79647,1.33772,1.12463,0.78983,0.88744,0.90156,0.71694,0.6523,1.3194,1.01215,0.000260659,0.000260659,0.000260659
8,46.624,0.80495,1.26397,1.11047,0.8556,0.85621,0.91466,0.72441,0.64374,1.16411,1.01538,0.000293106,0.000293106,0.000293106
9,50.5101,0.76462,1.26202,1.1186,0.79202,0.86615,0.89564,0.71057,0.67294,1.15343,1.05453,0.000324163,0.000324163,0.000324163
10,54.7836,0.73402,1.07431,1.05916,0.82858,0.82534,0.89377,0.7348,0.63836,1.25417,1.03463,0.000353832,0.000353832,0.000353832
11,59.2082,0.76829,1.09194,1.09934,0.81995,0.89298,0.92597,0.76987,0.65715,0.92575,1.04907,0.000382113,0.000382113,0.000382113
12,62.7777,0.74622,1.03068,1.09084,0.82037,0.87674,0.91933,0.75002,0.68579,0.89659,1.05781,0.000409004,0.000409004,0.000409004
13,66.7149,0.68832,0.93508,1.03327,0.86288,0.82884,0.92173,0.77883,0.65384,0.87228,1.04327,0.000421852,0.000421852,0.000421852
14,71.3188,0.74307,0.86967,1.05564,0.89313,0.8481,0.92705,0.77263,0.6379,0.83165,1.02985,0.000413173,0.000413173,0.000413173
15,74.8788,0.72751,0.8661,1.04971,0.8809,0.83509,0.91593,0.76804,0.63304,0.86299,1.05424,0.000404494,0.000404494,0.000404494
16,78.4806,0.69513,0.85669,1.03625,0.86823,0.86441,0.92696,0.75468,0.6029,0.83447,0.99271,0.000395815,0.000395815,0.000395815
17,82.9737,0.75414,0.87408,1.09093,0.8374,0.91864,0.93745,0.77146,0.59669,0.77704,0.9889,0.000387136,0.000387136,0.000387136
